article_num,main_tag,other_tags,lean,con_feel,lib_feel,partisan_diff
1,PE,['p'],C,4.25,2.0,Y
2,PE,"['p', 't']",L,1.75,3.0,Y
3,H,['nan'],N,3.25,3.0,N
4,PE,"['p', 't']",N,2.0,4.75,Y
5,S,"['n', 'cc']",N,2.75,3.0,N
6,PE,"['p', 't']",L,2.0,6.0,Y
7,PE,"['p', 't']",L,2.5,4.0,Y
8,PE,"['p', 't', 'i']",C,3.0,2.75,Y
9,PE,"['p', 't', 'i']",C,3.0,3.0,Y
10,H,"['n', 'h']",N,5.75,5.75,N
11,H,['h'],U,3.25,2.5,N
12,PE,"['p', 't']",L,2.25,3.75,Y
13,H,"['p', 'h']",C,2.0,2.75,Y
14,S,['nan'],N,4.0,5.25,N
15,H,"['nan', 'h']",N,2.25,2.25,N
16,PE,"['p', 't', 'i']",C,4.5,2.0,Y
17,PE,"['p', 't', 'i']",L,1.75,5.75,Y
18,H,"['nan', 'h']",N,2.25,2.25,N
19,PE,"['p', 't', 'i']",N,2.0,4.5,Y
20,H,['h'],N,4.5,3.5,N
21,PE,"['p', 'h']",C,5.5,2.5,Y
22,PE,"['p', 't', 'i']",L,2.5,5.75,Y
23,S,['he'],N,3.75,3.75,N
24,PE,"['p', 'i', 't']",N,2.5,4.0,Y
25,S,"['n', 'cc', 'h']",N,4.5,5.0,N
26,PE,['p'],C,4.5,2.5,Y
27,PE,"['p', 't', 'i']",L,2.5,4.5,Y
28,PE,['p'],C,4.5,2.5,Y
29,H,['h'],N,3.5,3.5,Y
30,PE,"['p', 'h']",N,2.25,2.0,N
31,PE,['p'],N,4.5,3.5,N
32,PE,"['p', 't', 'i']",L,2.25,4.75,Y
33,H,"['he', 'h']",U,3.25,3.25,N
34,H,"['h', 'p']",N,2.0,3.0,N
35,PE,"['p', 't', 'i']",N,4.5,2.25,Y
36,PE,"['p', 'e', 't']",N,5.0,2.75,Y
37,PE,"['p', 't', 'i']",L,1.75,5.25,Y
38,PE,['p'],U,5.5,2.5,Y
39,PE,"['p', 'h']",C,5.25,2.5,Y
40,PE,['p'],N,2.25,5.0,Y
41,PE,"['p', 'h']",C,2.75,1.75,Y
42,PE,"['p', 't', 'i']",L,1.75,3.0,Y
43,PE,['p'],U,2.25,2.25,N
44,PE,"['p', 't', 'i']",N,4.75,2.25,Y
45,PE,['p'],N,4.5,3.75,N
46,PE,['p'],C,5.0,2.5,Y
47,PE,"['p', 't']",L,2.5,5.25,Y
48,PE,"['p', 'e', 't']",N,3.25,3.25,N
49,PE,"['p', 't', 'i']",C,3.5,3.0,Y
50,H,"['p', 'h']",N,2.5,2.25,N
51,PE,['p'],C,2.25,2.5,N
52,PE,"['p', 't']",L,2.5,1.75,Y
53,PE,['p'],C,3.0,3.75,Y
54,H,['h'],N,3.5,3.5,N
55,H,['h'],N,2.5,2.5,N
56,PE,"['p', 't']",C,5.25,2.25,Y
57,PE,"['p', 't', 'i']",N,2.75,3.5,Y
58,S,['he'],N,4.0,4.0,N
59,PE,['p'],C,4.0,3.0,Y
60,H,"['p', 'h']",N,2.5,6.0,Y
61,PE,"['p', 't', 'i']",C,6.0,1.75,Y
62,PE,['p'],L,2.5,2.25,Y
63,PE,"['p', 'h']",C,5.75,3.0,Y
64,PE,"['p', 't', 'i']",N,2.0,5.75,Y
65,PE,['p'],N,2.5,3.75,Y
66,PE,['p'],C,3.25,2.25,Y
67,PE,"['p', 't', 'i']",L,1.75,5.25,Y
68,PE,['p'],N,3.75,3.75,N
69,PE,"['p', 't', 'i']",C,6.0,2.0,Y
70,O,"['p', 't']",L,3.5,1.75,Y
71,H,"['p', 'h']",C,1.75,3.5,Y
72,PE,"['p', 't', 'i']",L,2.0,3.0,Y
73,PE,"['p', 't', 'i']",N,2.0,5.75,Y
74,PE,"['p', 't']",U,3.0,2.75,Y
75,H,['h'],N,3.75,6.0,N
76,PE,['p'],C,4.25,2.0,Y
77,PE,"['p', 't']",L,2.5,3.5,Y
78,PE,"['p', 'e']",L,3.0,6.5,Y
79,PE,"['p', 't', 'i']",N,2.25,5.25,Y
80,PE,"['p', 'h']",N,2.25,5.75,Y
81,PE,"['p', 't', 'i']",C,4.0,2.5,Y
82,PE,"['p', 'cc']",L,2.25,6.0,Y
83,S,"['he', 'h', 'e']",N,2.25,2.0,N
84,H,['h'],N,2.75,2.75,N
85,H,['h'],N,3.5,3.75,N
86,PE,"['p', 't', 'i']",C,5.5,2.25,Y
87,PE,"['p', 't', 'i']",L,2.25,5.25,Y
88,PE,"['p', 'h', 'n']",C,2.0,2.0,N
89,PE,"['p', 't', 'i']",N,2.0,5.75,Y
90,PE,"['p', 't', 'i']",N,2.0,5.75,Y
91,S,"['n', 'cc', 'p']",C,4.75,2.25,Y
92,PE,"['p', 't', 'i']",L,2.25,4.75,Y
93,PE,"['p', 't', 'i']",N,3.0,4.0,Y
94,H,"['h', 'p', 'cc']",N,6.0,2.5,Y
95,PE,['p'],L,2.5,4.5,Y
96,PE,"['p', 't']",N,1.75,2.25,Y
97,PE,"['p', 't', 'i']",L,1.75,5.0,Y
98,PE,"['p', 't']",C,2.5,2.0,Y
99,PE,"['p', 't']",N,2.75,4.75,Y
100,PE,"['p', 't']",L,2.75,4.75,Y
101,S,"['n', 'h']",C,3.25,2.5,Y
102,PE,"['p', 't']",L,3.0,2.0,Y
103,S,['he'],N,4.75,2.75,Y
104,S,"['n', 'cc']",C,5.5,2.5,Y
105,PE,"['p', 't']",N,5.5,2.25,Y
106,PE,"['p', 'he']",C,6.25,2.25,Y
107,PE,"['p', 't', 'i']",L,2.5,4.0,Y
108,S,"['cc', 'p']",L,2.0,2.75,Y
109,PE,"['p', 't', 'h']",N,2.5,4.5,Y
110,PE,"['p', 't', 'h']",N,2.5,6.25,Y
111,S,['n'],N,3.25,3.25,N
112,PE,"['p', 't', 'i']",L,1.75,6.0,Y
113,H,['h'],N,4.75,4.75,N
114,PE,"['p', 'e']",N,2.5,6.0,Y
115,H,"['h', 'n']",N,4.25,5.75,N
116,PE,['p'],C,5.75,2.25,Y
117,PE,"['p', 't', 'i']",L,2.0,5.5,Y
118,H,"['h', 'e']",U,2.5,2.5,N
119,PE,['t'],N,6.25,2.25,Y
120,H,"['h', 'p']",N,2.5,6.0,Y
121,PE,['p'],C,5.75,3.0,Y
122,PE,"['p', 't', 'i']",L,2.0,4.5,Y
123,H,"['h', 'nan']",N,3.0,4.75,N
124,PE,"['p', 't']",C,5.75,2.25,Y
125,H,"['h', 'he']",N,2.5,2.5,N
126,PE,"['p', 't']",C,2.5,4.0,Y
127,PE,"['p', 't', 'i']",L,5.0,1.75,Y
128,PE,"['p', 'e', 't']",C,2.75,2.25,Y
129,PE,['p'],C,5.75,2.0,Y
130,H,['h'],N,3.25,6.0,Y
131,PE,['p'],C,2.0,2.25,Y
132,PE,"['p', 't', 'i']",L,1.75,6.0,Y
133,H,"['h', 'nan']",N,3.25,3.25,N
134,S,"['co', 'he']",N,2.75,2.75,N
135,S,['nan'],N,3.75,3.75,N
136,S,"['co', 'he']",N,2.75,2.75,N
137,PE,"['p', 't', 'i']",L,1.75,5.25,Y
138,S,"['co', 'he']",N,2.75,2.75,N
139,S,['n'],N,2.25,2.25,N
140,PE,"['p', 'h']",N,2.75,2.75,N
141,PE,['p'],C,5.75,2.25,Y
142,PE,"['p', 't', 'i']",L,2.0,5.25,Y
143,S,"['p', 'co', 'he']",U,2.25,2.0,N
144,S,"['co', 'he', 'p']",N,2.25,2.5,Y
145,H,['h'],N,2.25,2.25,N
146,PE,"['p', 't']",C,6.25,1.75,Y
147,PE,"['p', 't', 'i']",L,2.5,2.5,Y
148,S,"['co', 'he']",N,3.0,3.0,N
149,PE,"['p', 't', 'i']",C,6.0,1.75,Y
150,H,['h'],N,2.5,2.5,N
151,PE,['p'],C,,,Y
152,PE,"['p', 't', 'i']",L,1.75,5.5,Y
153,S,"['co', 'he', 'p']",U,2.25,2.0,N
154,PE,['p'],N,5.5,2.75,Y
155,PE,"['p', 't']",N,5.0,2.75,Y
156,PE,['p'],C,,,Y
157,PE,"['p', 't', 'i']",L,4.25,2.0,Y
158,S,"['cc', 'n']",U,3.25,3.25,N
159,PE,['e'],N,2.75,2.75,N
160,PE,"['p', 't']",N,2.25,5.5,Y
161,PE,"['p', 't', 'i']",C,5.5,2.25,Y
162,PE,"['p', 't']",L,2.0,5.75,Y
163,S,"['co', 'he', 'p']",C,3.0,2.25,N
164,PE,"['p', 't', 'i']",N,6.0,2.0,Y
165,H,['h'],N,2.75,2.75,N
